variant,seqlen,BLOCK_M,BLOCK_N,num_warps,num_stages,latency_ms
causal_alibi,1024,128,32,8,3,0.1473
causal_alibi,1024,128,64,4,3,0.1474
causal_alibi,1024,128,64,8,2,0.1475
causal_alibi,1024,128,128,4,2,0.1475
causal_alibi,1024,128,128,8,2,0.1475
causal_alibi,1024,256,32,8,2,0.1474
causal_alibi,1024,256,64,8,2,0.1474
causal_alibi,1024,256,64,4,2,0.1475
causal_alibi,2048,64,32,4,3,0.4146
causal_alibi,2048,64,32,4,4,0.4161
causal_alibi,2048,64,64,4,3,0.4158
causal_alibi,2048,64,64,8,2,0.4156
causal_alibi,2048,64,128,4,2,0.4158
causal_alibi,2048,64,128,8,2,0.4157
causal_alibi,2048,128,32,4,4,0.4149
causal_alibi,2048,128,32,8,3,0.4151
causal_alibi,2048,128,64,4,3,0.4158
causal_alibi,2048,128,64,8,2,0.4152
causal_alibi,2048,128,128,4,2,0.4167
causal_alibi,2048,128,128,8,2,0.4167
causal_alibi,2048,256,32,8,2,0.4160
causal_alibi,2048,256,64,8,2,0.4174
causal_alibi,2048,256,64,4,2,0.4167
causal_alibi,4096,64,32,4,3,1.1852
causal_alibi,4096,64,32,4,4,1.1762
causal_alibi,4096,64,64,4,3,1.1693
causal_alibi,4096,64,64,8,2,1.1743
causal_alibi,4096,64,128,4,2,1.1804
causal_alibi,4096,64,128,8,2,1.1777
causal_alibi,4096,128,32,4,4,1.1745
causal_alibi,4096,128,32,8,3,1.1721
causal_alibi,4096,128,64,4,3,1.1773
causal_alibi,4096,128,64,8,2,1.1731
causal_alibi,4096,128,128,4,2,1.1738
causal_alibi,4096,128,128,8,2,1.1756
causal_alibi,4096,256,32,8,2,1.1750
causal_alibi,4096,256,64,8,2,1.1811
causal_alibi,4096,256,64,4,2,1.1746
