# Config sweep  device=NVIDIA GeForce RTX 3090
# torch=2.5.1+cu121  2026-05-23 02:41:01

  BM=256 BN= 64 warps=4 stages=2  1.8176 ms

======================================================================
Variant            N   BM   BN  warps  stages          ms
----------------------------------------------------------------------
causal           512   64   32      4       4     0.0881
causal          1024   64   32      4       4     0.1357
causal          2048   64   32      4       3     0.4526
causal          4096  128   32      4       4     1.7987
causal_alibi     512   64   64      8       2     0.0901
causal_alibi    1024   64   32      4       3     0.1352
causal_alibi    2048   64   32      4       3     0.4495
causal_alibi    4096   64  128      4       2     1.7838
dense            512   64   32      4       4     0.0911
dense           1024  128   64      8       2     0.2058
dense           2048   64   32      4       4     0.8054
dense           4096  128   64      8       2     3.1109
sw_w256          512   64  128      8       2     0.0896
sw_w256         1024   64   32      4       4     0.1137
sw_w256         2048   64   64      4       3     0.2232
sw_w256         4096   64   32      4       3     0.4449

[ok] wrote results/e2e_2026-05-22/config_sweep_expanded.csv
